question,answer
Cara Mendaftar Menjadi Peserta PPU Penyelenggara Negara,"Pendaftaran dilakukan secara kolektif oleh PIC satuan kerja satker dan dapat juga dilakukan secara perorangan. 1. Syarat pendaftaran apabila pendaftaran dilakukan secara perorangan yaitu dengan menunjukkan a. Kartu Keluarga b. SK Penetapan pertama. c. SK Kepangkatanpengangkatan terakhir dari KementerianLembagaKepala Dinas jika ada perubahan d. Daftar gaji yang mencantumkan gaji pokok dan tunjangan dan dilegalisasi oleh pimpinan unit kerja. e. Penetapan Pengadilan Negeri untuk anak angkat jika belum tercantum dalam Kartu Keluarga. f. Asli Surat keterangan dari sekolah Perguruan Tinggi bagi anak usia di atas 21 tahun s.d. 25 tahun yang berlaku 1 satu tahun. 2. Pendaftaran secara kolektif dilakukan melalui registrasi entitas satuan kerja oleh masing-masing PIC satuan kerja. Kemudian, pendaftaran pekerja dan anggota keluarganya dilakukan melalui proses migrasi dengan mengisi FDIPE Formulir Daftar Isian Peserta Elektronik. Khusus untuk kepesertaan dari Kepala Desa dan Perangkat Desa proses pendaftaran dan perubahan data dilakukan secara kolektif oleh penanggung jawab Pemerintah Daerah melalui sistem informasi yang telah disediakan oleh BPJS Kesehatan"
Bagaimana cara Pendaftaran PPU PN (PNS),"Peserta bisa mengajukan pendaftaran baru melalui chat pandawa dengan melampirkan syarat, yaitu 1. Asli KTP dan KK 2. SK PNS 3. Slip Daftar Gaji atau PembuatanPencetakan Daftar Gaji NCR"
Bagaimana Ketentuan Mengenai Penjaminan 6 Bulan Bagi Pekerja yang terkena PHK,"a. Peserta PPU yang mengalami PHK dan membutuhkan pelayanan rawat inap diberikan manfaat pelayanan kelas rawat inap standar atau di ruang perawatan kelas 3 untuk rumah sakit yang belum menerapkan KRIS. b. Peserta tidak dapat meningkatkan perawatan yang lebih tinggi dari haknya termasuk rawat jalan. c. Jika perselisihan PHK masih dalam proses penyelesaian, Pemberi Kerja dan Pekerja tetap melaksanakan kewajiban iuran sampai dengan adanya putusan PHK yang inkracht. d. Manfaat penjaminan diberikan setelah kelengkapan dokumen dipenuhi, dan TMT Penjaminan diberikan tanggal 1 satu bulan berikutnya. e. Peserta PPU yang mengalami PHK yang telah bekerja kembali wajib memperpanjang atau melanjutkan status kepesertaanya dengan didaftarkan oleh Pemberi Kerja atau dengan mendaftarkan diri sendiri. f. Dalam hal Peserta PPU yang mengalami PHK tidak bekerja kembali dan tidak mampu, Peserta melaporkan dirinya dan anggota keluarganya ke dinas sosial untuk didaftarkan sebagai Peserta PBI Jaminan Kesehatan. g. Peserta PHK wajib melaporkan pengaktifan kembali status kepesertaan sebagai Peserta PHK melalui Kantor Cabang setiap bulan sampai dengan Peserta kembali bekerja atau paling lama 6 bulan sejak terjadinya PHK."
Ketentuan Pelayanan Korset Tulang Belakang/ Corset?,"1. Pelayanan Korset Tulang Belakang Corset merupakan bagian dari pemeriksaan dan penanganan yang diberikan pada FKRTL yang bekerja sama dengan BPJS Kesehatan 2. Korset Tulang Belakang Corset dapat diberikan maksimal 1 kali dalam 2 dua tahun atas indikasi medis dengan besaran maksimal Rp. 350.000,00 3. Apabila sebelum 2 tahun diperlukan penggantian Korset Tulang Belakang Corset oleh sebab apapun maka BPJS Kesehatan tidak menjamin 4. Peserta mendapatkan pelayanan medis danatau tindakan medis di FKRTL yang bekerja sama dengan BPJS Kesehatan sesuai dengan prosedur pelayanan 5. Peserta mengurus keabsahan administrasi Korset Tulang Belakang di FKRTL dengan membawa lembar salinan SEP dan resep Korset Tulang Belakang 6. Peserta mengambil Korset Tulang Belakang pada Faskes atau Apotek yang bekerjasama dengan BPJS Kesehatan dengan menyerahkan lembar salinan SEP, resep Korset Tulang Belakang dan bukti keabsahan administrasi. 7. Petugas Faskes atau Apotek melakukan verifikasi resep dan bukti pendukung lain, kemudian menyerahkan Korset Tulang Belakang kepada Peserta. 8. Peserta menandatangani bukti pelayanan"
Apa syarat pendaftaran Usaha Mikro Kecil,Syarat Pendaftaran antara lain NIBSurat Izin Usaha Mikro KecilSurat Izin lainnya sesuai kebijakan Pemerintah Setempat dan NPWP Badan Perorangan
Dokumen Pendukung yang Dibutuhkan Dalam Mengajukan Penjaminan 6 Bulan Bagi Pekerja yang terkena PHK,"1. Dokumen data Peserta dan anggota keluarga PHK berupa nama, NIK, tanggal lahir, nomor identitas Peserta JKN, Alamat, No HP Email 2. Dokumen pembuktian PHK, meliputi a. bukti diterimanya Pemutusan Hubungan Kerja oleh Pekerja dan tanda terima laporan Pemutusan Hubungan Kerja dari dinas daerah kabupatenkota yang menyelenggarakan urusan pemerintahan di bidang ketenagakerjaan b. perjanjian bersama dan tanda terima laporan Pemutusan Hubungan Kerja dari dinas daerah kabupatenkota yang menyelenggarakan urusan pemerintahan di bidang ketenagakerjaan atau akta bukti pendaftaran perjanjian bersama atau c. petikan atau putusan pengadilan hubungan industrial"
Ketentuan Pelayanan Alat Bantu Dengar (Hearing Aid),"1. Pelayanan alat bantu dengar hearing aid diberikan atas rekomendasi dari dokter spesialis THT serta merupakan bagian dari pemeriksaan dan penanganan yang diberikan pada FKRTL yang bekerja sama dengan BPJS Kesehatan. 2. Alat bantu dengar dapat diberikan maksimal sekali dalam 5 lima tahun atas indikasi medis dengan besaran maksimal Rp. 1.000.000,- per peserta tanpa membedakan satudua telinga. 3. Apabila sebelum 5 tahun diperlukan penggantian alat bantu dengar hearing aid oleh sebab apapun perubahan ukuran, hilang, rusak dan sebab lain maka BPJS Kesehatan tidak menjamin 4. Peserta mendapatkan pelayanan medis danatau tindakan medis di FKRTL yang bekerja sama dengan BPJS Kesehatan sesuai dengan prosedur pelayanan RJTL 5. Peserta mengurus keabsahan administrasi alat bantu dengar hearing aid di FKRTL dengan membawa lembar salinan SEP RJTL dan resep alat bantu dengar hearing aid 6. Peserta mengambil alat bantu dengar hearing aid pada Faskes atau Optik yang bekerjasama dengan BPJS Kesehatan dengan menyerahkan lembar salinan SEP RJTL, resep alat bantu dengar hearing aid dan bukti keabsahan administrasi. 7. Petugas FKRTL atau Optik melakukan verifikasi resep dan bukti pendukung lain, kemudian menyerahkan alat bantu dengar hearing aid kepada Peserta"
Apa syarat pendaftaran CV,Syarat Pendaftaran antara lain NIB Surat Izin dan NPWP Badan Perorangan
Apakah Jam operasional layanan peserta di Kantor Cabang BPJS Kesehatan berbeda selama bulan Ramadan 1445H?,Jam operasional layanan peserta di Kantor Cabang selama bulan Ramadan dilaksanakan pada pukul 08.00-13.30 waktu setempat.
Apa syarat pendaftaran Peserta Pensiun PNS Pusat/Daerah,"Pendaftaran dapat dilakukan secara perorangan maupun kolektif dengan cara mengisi Formulir Daftar Isian Peserta FDIP beserta persyaratannya, yaitu 1. Asli KTP 2. Fotocopi KK 3. AsliFotokopi surat tanda bukti penerima pensiun atau KARIP 4. Aslifotokopi surat tanda bukti penerima pensiun atau Kartu Tanda Peserta ASABRI 5. AsliFotokopi Surat keputusan JandaDudaAnak YatimAnak Piatu dan atau Anak Yatim Piatu 6. Surat Keterangan dari SekolahPerguruan tinggi bagi anak berusia lebih dari 21 dua puluh satu tahun sampai dengan 25 dua puluh lima tahun"
Bagaimana cara mendaftarkan peserta PPU melalui E Dabu,1 Langkah 1 pencarian calon peserta a. Pilih menu peserta input data b. Pilih kategori pencarian berdasarkan NIK c. Input NIK pada text field masukkan NIK d. Tekan tombol selanjutnya 2 Langkah 2 pemilihan mutase tambah a. Pastikan nama calon peserta dan nik benar b. Pastikan No JKN KIS bernilai null dan kolom Terdaftar di bernilai belum terdaftar c. Pilih mutase Tambahkan Sebagai Pekerja d. Tekan tombol panah biru 3 Langkah 3 Review dan lengkapi data pribadi calon peserta Lakukan r
Bagaimana cara Pendaftaran peserta TNI/POLRI,"Peserta bisa mengajukan pendaftaran baru melalui chat pandawa dengan melampirkan syarat, yaitu 1. Asli KTP dan KK 2. SK Pengangkatan prajurit 3. Slip Daftar Gaji"
Bagaimana menentukan Fasilitas Kesehatan Tingkat Pertama (FKTP) bagi Peserta pertama kali ?,"1. Peserta berhak menentukan FKTP yang diinginkan saat mendaftar pada BPJS Kesehatan. 2. Dalam hal Peserta didaftarkan oleh pihak lain atas nama peserta, maka penentuan FKTP untuk pertama kali dapat dilakukan oleh pihak lain atas nama peserta. 3. Bagi Peserta PBI, penentuan FKTP untuk pertama kali dapat dilakukan oleh BPJS Kesehatan sesuai domisili Peserta terdaftar. 4. Penentuan FKTP untuk pertama kali oleh BPJS Kesehatan sebagaimana dimaksud pada ayat 2 harus diinformasikan kepada Peserta."
Bagaimana cara pendaftaran PPNPN,Pendaftaran bisa dikonfirmasikan ke Satuan Kerja Pemda masing-masing 1. PIC Satuan Kerja menyampaikan formulir registrasi entitas Satuan Kerja yang disahkan oleh Pejabat yang berwenang dan dokumen pendukung 2. Pendaftaran secara kolektif dilakukan dengan pengisian Formulir Pendaftaran Pengisian Excel Format Migrasi 3. Melampirkan bukti setor iuran jaminan kesehatan dengan daftar rincian pekerja dan anggota keluarganya 4. Pendaftaran anak berusia lebih dari 21 tahun s.d 25 tahun dilengkapi dengan surat keterangan sekolah kuliah
Bagaimana keikutsertaan Penduduk Indonesia dalam Program JKN?,"Setiap penduduk Indonesia wajib ikut serta dalam Program Jaminan Kesehatan dengan cara mendaftar atau didaftarkan pada BPJS Kesehatan, sebagai Peserta."
Ketentuan Pelayanan Alat Bantu Gerak berupa Kruk penyangga tubuh?,"1. Pelayanan Alat bantu gerak berupa kruk penyangga tubuh merupakan bagian dari pemeriksaan dan penanganan yang diberikan pada FKRTL yang bekerja sama dengan BPJS Kesehatan 2. Alat bantu gerak berupa kruk penyangga tubuh dapat diberikan paling cepat 5 lima tahun sekali atas indikasi medis dengan besaran maksimal Rp. 350.000,- per peserta 3. Apabila sebelum 5 tahun diperlukan penggantian kruk oleh sebab apapun maka BPJS Kesehatan tidak menjamin 4. Peserta mendapatkan pelayanan medis danatau tindakan medis di FKRTL yang bekerja sama dengan BPJS Kesehatan sesuai dengan prosedur pelayanan. 5. Peserta mengurus keabsahan administrasi kruk di FKRTL dengan membawa lembar salinan SEP dan resep kruk. 6. Peserta mengambil kruk pada Faskes atau Apotek yang bekerjasama dengan BPJS Kesehatan dengan menyerahkan lembar salinan SEP, resep kruk dan bukti keabsahan administrasi. 7. Petugas Faskes atau Apotek melakukan verifikasi resep dan bukti pendukung lain, kemudian menyerahkan kruk. 8. Peserta menandatangani bukti pelayanan"
Apa syarat pendaftaran LSM,Syarat Pendaftaran antara lain Akta Yayasan dan NPWP Badan
Apa syarat pendaftaran PT / Perseroan Terbatas,Syarat Pendaftaran antara lain NIBSurat Izin UsahaTanda Daftar Perusahaan dan NPWP Badan
Ketentuan Pelayanan Protesa Alat Gerak,"1. Pelayanan Protesa alat gerak kaki danatau tangan tiruan merupakan bagian dari pemeriksaan dan penanganan yang diberikan pada FKRTL yang bekerja sama dengan BPJS Kesehatan 2. Protesa alat gerak dapat diberikan satu kali per peserta dalam kurun waktu 5 lima tahun atas indikasi dengan besaran maksimal Rp. 2.500.000,00 3. Apabila sebelum 5 tahun diperlukan penggantian protesa alat gerak oleh sebab apapun maka BPJS Kesehatan tidak menjamin 4. Peserta mendapatkan pelayanan medis danatau tindakan medis di FKRTL yang bekerja sama dengan BPJS Kesehatan sesuai dengan prosedur pelayanan 5. Peserta mengurus keabsahan administrasi dengan membawa lembar salinan SEP dan resep protesa alat gerak kaki danatau tangan tiruan 6. Peserta mengambil protesa alat gerak pada Faskes atau Apotek yang bekerjasama dengan BPJS Kesehatan dengan menyerahkan lembar salinan SEP, resep protesa alat gerak kaki danatau tangan tiruan dan bukti keabsahan administrasi. 7. Petugas Faskes atau Apotek melakukan verifikasi resep dan bukti pendukung lain, kemudian menyerahkan protesa alat gerak kaki danatau tangan tiruan kepada Peserta. 8. Peserta menandatangani bukti pelayanan"
Ketentuan Pelayanan Penyangga Leher (Collar Neck/ Cervical Collar/ Neck Brace),"1. Pelayanan Penyangga leher collar neckcervical collarneck brace merupakan bagian dari pemeriksaan dan penanganan yang diberikan pada FKRTL yang bekerja sama dengan BPJS Kesehatan 2. Penyangga leher collar neckcervical collarneck brace dapat diberikan maksimal 1 kali dalam 2 dua tahun atas indikasi medis dengan besaran maksimal Rp. 150.000,- 3. Apabila sebelum 2 tahun diperlukan penggantian collar neck oleh sebab apapun maka BPJS Kesehatan tidak menjamin. 4. Peserta mendapatkan pelayanan medis danatau tindakan medis di FKRTL yang bekerja sama dengan BPJS Kesehatan sesuai dengan prosedur pelayanan. 5. Peserta mengurus keabsahan administrasi Penyangga leher collar neckcervical collarneck brace di FKRTL dengan membawa lembar salinan SEP dan resep Penyangga leher collar neckcervical collarneck brace. 6. Peserta mengambil Penyangga leher collar neckcervical collarneck brace pada Faskes atau Apotek yang bekerjasama dengan BPJS Kesehatan dengan menyerahkan lembar salinan SEP, resep Penyangga leher collar neckcervical collarneck brace dan bukti keabsahan administrasi 7. Petugas Faskes atau Apotek melakukan verifikasi resep dan bukti pendukung lain, kemudian menyerahkan Penyangga leher collar neckcervical collarneck brace. 8. Peserta menandatangani bukti pelayanan"
Apa syarat pendaftaran Rumah Ibadah Asosiasi/ organisasi,Syarat Pendaftaran antara lain Akta Pendirian tanpa NPWP
Apa syarat pendaftaran Yayasan,Syarat Pendaftaran antara lain Akta yayasan dan NPWP Badan
Apa syarat pendaftaran Peserta Pensiun TNI,"Pendaftaran dapat dilakukan secara perorangan maupun kolektif dengan cara mengisi Formulir Daftar Isian Peserta FDIP beserta persyaratannya, yaitu 1. Asli KTP 2. Fotocopi KK 3. AsliFotokopi surat tanda bukti penerima pensiun atau KARIP 4. Aslifotokopi surat tanda bukti penerima pensiun atau Kartu Tanda Peserta ASABRI 5. AsliFotokopi Surat keputusan JandaDudaAnak YatimAnak Piatu dan atau Anak Yatim Piatu 6. Surat Keterangan dari SekolahPerguruan tinggi bagi anak berusia lebih dari 21 dua puluh satu tahun sampai dengan 25 dua puluh lima tahun."
Apa syarat pendaftaran Peserta Pejabat Negara,"Pendaftaran dapat dilakukan secara perorangan maupun kolektif dengan cara mengisi Formulir Daftar Isian Peserta FDIP beserta persyaratannya, yaitu 1. Asli KTP 2. Fotocopi KK 3. AsliFotokopi surat tanda bukti penerima pensiun atau KARIP 4. Aslifotokopi surat tanda bukti penerima pensiun atau Kartu Tanda Peserta ASABRI 5. AsliFotokopi Surat keputusan JandaDudaAnak YatimAnak Piatu dan atau Anak Yatim Piatu 6. Surat Keterangan dari SekolahPerguruan tinggi bagi anak berusia lebih dari 21 dua puluh satu tahun sampai dengan 25 dua puluh lima tahun"
Apa syarat pendaftaran Veteran,"Pendaftaran dapat dilakukan secara perorangan maupun kolektif dengan cara mengisi Formulir Daftar Isian Peserta FDIP beserta persyaratannya, yaitu 1. Asli KTP 2. Fotocopi KK 3. AsliFotokopi surat tanda bukti penerima pensiun atau KARIP 4. Aslifotokopi piagam petikan SK Pengesahan Gelar Kehormatan Veteran 5. AsliFotokopi Surat keputusan JandaDudaAnak YatimAnak Piatu dan atau Anak Yatim Piatu 6. Surat Keterangan dari SekolahPerguruan tinggi bagi anak berusia lebih dari 21 dua puluh satu tahun sampai dengan 25 dua puluh lima tahun."
Apa syarat pendaftaran Perusahaan Asing,Syarat Pendaftaran antara lain NIBMOUPKS dengan Pemerintah dan NPWP Badan
Apa syarat pendaftaran LSM Asing,Syarat Pendaftaran antara lain NIBMOUPKS dengan Pemerintah dan NPWP Badan
Apa syarat pendaftaran Peserta Pensiun Polri,"Pendaftaran dapat dilakukan secara perorangan maupun kolektif dengan cara mengisi Formulir Daftar Isian Peserta FDIP beserta persyaratannya, yaitu 1. Asli KTP 2. Fotocopi KK 3. AsliFotokopi surat tanda bukti penerima pensiun atau KARIP 4. Aslifotokopi surat tanda bukti penerima pensiun atau Kartu Tanda Peserta ASABRI 5. AsliFotokopi Surat keputusan JandaDudaAnak YatimAnak Piatu dan atau Anak Yatim Piatu 6. Surat Keterangan dari SekolahPerguruan tinggi bagi anak berusia lebih dari 21 dua puluh satu tahun sampai dengan 25 dua puluh lima tahun."
Apa syarat pendaftaran Perintis Kemerdekaan,"Pendaftaran dapat dilakukan secara perorangan maupun kolektif dengan cara mengisi Formulir Daftar Isian Peserta FDIP beserta persyaratannya, yaitu 1. Asli KTP 2. Fotocopi KK 3. AsliFotokopi surat tanda bukti penerima pensiun atau KARIP 4. Aslifotokopi piagam petikan SK Pengesahan Gelar Kehormatan Veteran 5. AsliFotokopi Surat keputusan JandaDudaAnak YatimAnak Piatu dan atau Anak Yatim Piatu 6. Surat Keterangan dari SekolahPerguruan tinggi bagi anak berusia lebih dari 21 dua puluh satu tahun sampai dengan 25 dua puluh lima tahun."
Apa syarat pendaftaran Firma,Syarat Pendaftaran antara lain NIBSurat izin dan NPWP Badan Perorangan
